Title,Year,Review,Rating (/5)
Kick-Ass 2,2013,"Not as sharp as the first. Some fun moments, but kind of forgettable.",3.0
Hancock,2008,Cool idea that loses steam halfway through. Will Smith still carries it though.,2.9
Into the Woods,2014,"Great cast and some solid songs, but it felt uneven and dragged by the end.",2.9
13 Going on 30,2004,Sweet and nostalgic. One of the better body-swap-style rom-coms.,4.3
Dumbo,1941,"Short, sad, and sweet. Not a lot happens, but the emotion hits hard.",3.6
National Treasure,2004,Goofy fun with just enough mystery. Total guilty pleasure adventure movie.,4.0
The Princess Diaries,2001,Classic glow-up story. Super cute and Anne Hathaway is great in it.,4.1
50 First Dates,2004,"Sweet, funny, and just weird enough to be memorable.",3.4
Pitch Perfect 2,2015,"Not as fresh as the first, but still full of fun musical moments.",3.3
The Nun,2018,Had the creepy atmosphere but leaned more style than substance.,2.7
Bright,2017,Cool premise but messy execution. Tries to do too much.,2.4
The Hunchback of Notre Dame,1996,"Dark, dramatic, and beautifully animated. One of Disney’s more intense movies.",4.1
A Monster Calls,2016,Absolutely heartbreaking and beautifully made. One of those that stays with you.,4.5
2012,2009,Total disaster movie chaos. Fun if you don’t think too hard.,2.8
Me Before You,2016,"Romantic and emotional, though a bit controversial. Emilia Clarke was great.",3.4
The Blind Side,2009,"Inspirational and feel-good, even if it simplifies things. Sandra Bullock was solid.",4.1
Peter Pan,1953,Classic Disney with a whimsical charm. Still fun to revisit.,4.1
Minions,2015,"Kids love it, adults tolerate it. Loud and chaotic but has its moments.",3.0
Enchanted,2007,Funny and creative. A sweet spin on fairytale tropes.,4.0
The Parent Trap,1998,Nostalgic and super cute. Lindsay Lohan crushed it as both twins.,4.1
Forgetting Sarah Marshall,2008,"Funny, honest, and surprisingly heartfelt. One of the best rom-coms from that era.",4.3
One Hundred and One Dalmatians,1961,Classic animation style and a great villain. Cruella steals the show.,4.2
Tomorrowland,2015,Cool ideas and visuals but didn’t quite come together. A bit underwhelming.,2.9
Sixteen Candles,1984,"Classic 80s teen movie. A bit dated in parts, but still has charm.",4.0
Bridget Jones's Diary,2001,"Funny, relatable, and really well-acted. Such a comfort rom-com.",3.9
Notting Hill,1999,Sweet and charming. Julia Roberts and Hugh Grant are great together.,4.6
Dumbo,2019,"Short, sad, and sweet. Not a lot happens, but the emotion hits hard.",3.6
Hocus Pocus,1993,Campy and fun. A Halloween must-watch even if it’s totally over the top.,4.0
Baywatch,2017,Dumb but kind of entertaining. Leans into the ridiculousness.,2.5
Power Rangers,2017,Surprisingly decent for what it is. The nostalgia factor helps.,2.9
Jupiter Ascending,2015,So messy but kind of fun in a 'what is happening' way.,2.6
Sing,2016,Cute and colorful with some solid music. Kids will love it.,3.6
Knocked Up,2007,Raunchy but surprisingly heartfelt. A solid Judd Apatow movie.,4.1
The Boy in the Striped Pyjamas,2008,Devastating and powerful. It really lingers with you afterward.,4.4
Lemony Snicket's A Series of Unfortunate Events,2004,"Weird and stylish. Carrey was fun, but it felt like something was missing.",3.2
Transformers: Revenge of the Fallen,2009,"Loud, messy, and kind of exhausting. Not the best of the series.",2.4
Cinderella,1950,Classic fairytale Disney. Simple but sweet and iconic.,3.6
Fifty Shades of Grey,2015,Awkward and not super romantic. Felt more cringe than steamy.,2.7
Bee Movie,2007,"So weird it became a meme. Not great, not awful — just bizarre.",3.0
Scary Movie,2000,"Super immature, but has its hilarious moments. Total guilty pleasure.",3.6
Scooby-Doo,2002,Campy and weird but fun if you’re in the right mood. Nostalgic vibes.,3.7
Meet the Parents,2000,Cringe comedy done right. So uncomfortable but so funny.,4.2
Kung Fu Panda 2,2011,A strong sequel with real emotional beats. The animation is amazing.,3.9
The Babysitter,2017,Stylish and goofy horror-comedy. Doesn’t take itself too seriously.,3.2
The Other Guys,2010,Hilarious and totally ridiculous. Great buddy cop comedy.,4.1
Isn't It Romantic,2019,Cute and clever. Makes fun of rom-coms while still being one.,3.5
High School Musical,2006,"So cheesy, so catchy. A total classic for its generation.",3.9
Big Eyes,2014,"Interesting story, solid acting. A more understated Tim Burton film.",3.6
Sleeping Beauty,1959,Classic Disney with beautiful animation. A bit slow but still lovely.,4.0
Hotel Transylvania,2012,"Fun and fast-paced. Not deep, but charming enough.",3.2
Cars 2,2011,Tried to be a spy movie and it just didn’t work. Easily Pixar’s weakest.,1.9
Friends with Benefits,2011,Funny and surprisingly sweet. Timberlake and Kunis had good chemistry.,3.4
Transformers: Dark of the Moon,2011,A bit of an improvement but still chaotic. Some fun set pieces.,2.8
War Dogs,2016,Slick and engaging. Kind of like a diet Wolf of Wall Street.,3.5
Bao,2018,Short and emotional. Somehow made me tear up over a dumpling.,4.7
Shark Tale,2004,Weird vibes but decent fun. The cast really went for it.,3.3
Fantastic Four,2015,Disappointing reboot. Never really found its tone.,2.1
Lady and the Tramp,1955,Romantic and gentle. That spaghetti scene is iconic for a reason.,4.0
Dark Shadows,2012,"Tonally all over the place. Had style, but not a lot of substance.",2.4
Gone Baby Gone,2007,"Tense, emotional, and well-acted. One of the better crime dramas.",4.6
Bolt,2008,"Cute and harmless. Not Disney’s best, but still enjoyable.",3.7
Liar Liar,1997,"Peak Jim Carrey. Silly, loud, and full of solid laughs.",4.1
Death Note,2017,Not great if you’ve seen the anime. Felt super rushed and off-tone.,2.0
Palo Alto,2013,"Moody and low-key. Great atmosphere, but not a lot actually happens.",3.7
Neighbors 2: Sorority Rising,2016,"Not as fresh as the first, but still had some really funny moments.",3.7
Oz the Great and Powerful,2013,Some cool visuals but felt kind of flat. Didn’t capture the magic of Oz.,3.1
Transformers: Age of Extinction,2014,Too long and all over the place. Dinobots were cool though.,2.3
The Hangover Part III,2013,"Completely different tone from the others. Not terrible, but not what I wanted.",2.5
The Impossible,2012,Intense and emotional. Naomi Watts and Tom Holland were amazing.,4.5
Krampus,2015,Creepy and creative. A fun mix of holiday cheer and horror.,3.5
The Boss Baby,2017,Totally bizarre but kind of cute. Not really for adults though.,3.2
Set It Up,2018,Charming and modern. A rom-com that actually works.,4.1
Maniac,2018,"Trippy and stylish. Definitely not for everyone, but I liked how bold it was.",3.9
Everest,2015,"Visually stunning and intense. Not super emotional, but gripping.",3.5
Gifted,2017,Sweet and emotional. Chris Evans was really solid in this.,3.9
Paul,2011,Silly and fun sci-fi comedy. Pegg and Frost are always great together.,3.3
Shrek Forever After,2010,"Better than expected for a fourth movie. Not as funny as the earlier ones, but a decent end.",2.8
Cars 3,2017,More grounded than Cars 2. A nice comeback with solid themes of legacy and mentorship.,3.8
Independence Day: Resurgence,2016,Nowhere near as fun as the original. Big and noisy but kind of forgettable.,2.4
Maze Runner: The Scorch Trials,2015,Moves fast but loses some of the mystery from the first one. Still entertaining though.,3.1
Murder Mystery,2019,"Silly and light. Not groundbreaking, but a fun enough watch for a chill night.",3.0
The Muppets,2011,Charming and nostalgic with fun songs. A solid reboot for the gang.,4.0
The Purge: Anarchy,2014,A step up from the first. Grittier and actually explores the concept more.,3.5
Snow White and the Huntsman,2012,Looks great but kind of slow. Charlize Theron totally stole the show.,2.8
Central Intelligence,2016,Surprisingly funny. Rock and Hart have good chemistry.,3.3
The Dictator,2012,"Absurd and offensive by design. Some funny bits, but not for everyone.",3.0
The Purge: Election Year,2016,"Tries to be political and action-packed. Not super subtle, but fun enough.",3.3
The Circle,2017,Had potential but ended up feeling flat and unconvincing.,2.4
The Twilight Saga: Breaking Dawn – Part 2,2012,Campy and dramatic with a wild twist ending. Fans got what they wanted.,3.5
Maze Runner: The Death Cure,2018,Too long but wrapped up the trilogy well enough. Action scenes were solid.,2.9
Paper Towns,2015,Had its moments but didn’t hit as hard as other YA stories.,2.9
"Love, Rosie",2014,Cute but frustrating at times. Chemistry is strong though.,3.8
Carrie,2013,Classic horror story. The original still holds up with a great slow burn.,4.0
Ender's Game,2013,Visually cool but kind of emotionally flat. The book has more depth.,2.8
Sierra Burgess Is a Loser,2018,"Had promise, but the message felt a little off. Still had some sweet parts.",2.4
Rise of the Guardians,2012,Visually awesome and a cool idea. Definitely underrated.,4.4
San Andreas,2015,Big dumb disaster fun. The Rock makes it watchable.,2.7
The Spy Who Dumped Me,2018,Silly but has its fun moments. Kate McKinnon totally carried it.,3.2
Kung Fu Panda 3,2016,"Not as memorable as the first two, but still solid and heartfelt.",3.7
Dumplin',2018,Heartfelt and sweet with a great message. Dolly Parton songs were a bonus.,3.9
Percy Jackson & the Olympians: The Lightning Thief,2010,Could’ve been amazing but didn’t quite capture the book’s spirit.,3.1
The Twilight Saga: Breaking Dawn – Part 1,2011,Mostly buildup with some wild moments. Not much actually happens.,3.1
The Woman in Black,2012,"Moody and spooky. Not groundbreaking, but pretty effective.",3.4
Despicable Me 3,2017,"More of the same. Kids will enjoy it, but nothing new here.",2.7
Love & Other Drugs,2010,Romantic and emotional with strong performances. A bit uneven though.,3.6
Bad Moms,2016,Relatable and funny. Not super deep but a fun ride.,3.6
War Horse,2011,Emotional and epic. Beautifully shot but very sentimental.,4.2
Pitch Perfect 3,2017,Pretty unnecessary but had a few fun moments. Felt like a farewell tour.,3.0
Focus,2015,"Stylish and slick. Not super memorable, but entertaining.",3.3
Insurgent,2015,"More action, less substance. The middle part of a trilogy slump.",2.5
The Fundamentals of Caring,2016,Sweet and sincere. Great chemistry between the leads.,4.0
Ted 2,2015,"Tries to recapture the first, but not quite as funny. Still some good laughs.",3.3
Project X,2012,"Pure chaos. If you’re in the mood for a wild party movie, this is it.",3.1
The Age of Adaline,2015,Romantic and kinda melancholy. Gorgeous visuals and a cool idea.,3.7
Transformers: The Last Knight,2017,"Loud, long, and nonsensical. One of the worst in the series.",2.1
The Secret World of Arrietty,2010,"Delicate and beautiful. A quieter Ghibli film, but really lovely.",4.2
Eddie the Eagle,2015,Uplifting and fun. A feel-good sports movie with a lot of heart.,3.7
The Croods,2013,"Fun and frantic. Not amazing, but charming and colorful.",3.3
Grown Ups,2010,"Lowbrow humor and lazy writing. Has its audience, but not really for me.",2.5
The Kissing Booth,2018,"Messy and cheesy, but it definitely found a fanbase.",2.5
Teenage Mutant Ninja Turtles,2014,"Loud and goofy, but not much beyond nostalgia.",2.4
John Carter,2012,"Underrated visually, but kind of all over the place plot-wise.",3.2
Prince of Persia: The Sands of Time,2010,"Generic but watchable. Not awful, just bland.",3.1
Pixels,2015,"Fun idea, poor execution. Mostly cringe, but a few chuckles.",2.7
The Last Airbender,2010,A disaster. Missed everything that made the show great.,1.4
Real Steel,2011,Cheesy but surprisingly emotional. Basically Rock ‘Em Sock ‘Em Robots with heart.,3.3
To the Bone,2017,Emotional and raw. A sensitive topic handled with care and strong performances.,3.9
Olympus Has Fallen,2013,"Loud and over-the-top, but it scratches that action movie itch.",2.9
Alice Through the Looking Glass,2016,Visually cool but kind of a mess. Not as charming as the first.,2.5
A Million Ways to Die in the West,2014,"Seth MacFarlane being Seth MacFarlane. Some laughs, but not much else.",2.4
Taken 2,2012,"Basically a rehash of the first one. Still watchable, but not exciting.",2.6
Rio,2011,"Colorful, musical, and fun. Great energy even if the plot’s basic.",3.5
The Stanford Prison Experiment,2015,"Chilling and intense. Tough to watch, but powerful.",3.9
What Happened to Monday,2017,"Cool concept, solid execution. Noomi Rapace is great playing all the sisters.",3.4
After Earth,2013,"Slow and oddly dull. Cool world, but it didn’t really go anywhere.",2.1
Goosebumps,2015,Fun for younger viewers. Has a good mix of spooky and silly.,3.6
It's Kind of a Funny Story,2010,Quietly moving with a nice message. Zach Galifianakis really surprised me.,3.8
Horns,2013,"Weird, dark, and oddly compelling. Not for everyone, but unique.",3.5
The DUFF,2015,Predictable but charming. Mae Whitman makes it more fun than it should be.,3.4
Why Him?,2016,"Over-the-top and kind of dumb, but Bryan Cranston and James Franco make it fun.",3.0
Horrible Bosses 2,2014,"Not as sharp as the first, but still had some solid laughs.",3.1
White House Down,2013,Basically Diet Die Hard in the White House. Entertaining enough.,3.0
Madagascar 3: Europe's Most Wanted,2012,"Bright, loud, and zany. A step up from the second one.",3.4
Pete's Dragon,2016,Surprisingly heartfelt and beautifully shot. Underrated Disney remake.,3.9
Bad Teacher,2011,Cameron Diaz totally owns the role. Funny in a very mean-spirited way.,2.9
One Day,2011,"Romantic and tragic. Bit of a slow burn, but the emotional payoff hits.",3.5
The Internship,2013,Middling comedy with a few charming moments. Mostly forgettable though.,2.5
The Night Before,2015,Raunchy holiday comedy that actually has some heart. Surprisingly fun.,3.8
The Lorax,2012,"Colorful and catchy, but kind of heavy-handed. Still cute though.",3.0
Someone Great,2019,"Fun, messy, and emotional. A breakup movie that feels real.",4.3
The Boy,2016,"Creepy at first, but the twist really makes or breaks it for people.",3.0
The Perfect Date,2019,"Cute and fluffy. Nothing groundbreaking, but charming enough.",3.1
Hotel Transylvania 2,2015,"More of the same. Kids will love it, adults will tolerate it.",3.2
Sisters,2015,"Tina Fey and Amy Poehler doing their thing. Not perfect, but very fun.",3.5
Jane Eyre,2011,Moody and romantic. Solid adaptation with great performances.,3.9
In a Heartbeat,2017,Short and incredibly sweet. Amazing how emotional it is in just a few minutes.,4.6
Piper,2016,Adorable and beautifully animated. Classic Pixar short magic.,5.0
Just Go with It,2011,Silly but watchable. Not one of Sandler’s worst by far.,2.9
The Book of Life,2014,Visually stunning and culturally rich. A beautiful animated film.,3.9
How to Be Single,2016,"A little messy, but fun and relatable. Rebel Wilson is hilarious in it.",3.4
The Light Between Oceans,2016,"Slow, sad, and very emotional. Gorgeous cinematography.",4.0
Bridget Jones's Baby,2016,Surprisingly funny and sweet. A solid follow-up to the originals.,3.6
Rough Night,2017,Tried to be edgy but ended up uneven. Some laughs but not many.,2.6
Puss in Boots,2011,Not bad for a Shrek spinoff. Funny enough to stand on its own.,3.6
The Boxtrolls,2014,"Weird and charming in that Laika way. Not for everyone, but unique.",3.7
Dirty Grandpa,2016,"Offensive and chaotic. Not really my thing, but had a few wild moments.",2.1
Fifty Shades Darker,2017,"Less awkward than the first, but still very cringe and not much plot.",2.5
Ice Age: Continental Drift,2012,This series is definitely running out of steam. Still has some charm though.,2.5
I Feel Pretty,2018,"Message is a bit muddled, but Amy Schumer gives it her all.",3.1
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Pretty and adventurous, but doesn’t quite hit like the earlier ones.",2.9
Taken 3,2014,"At this point, it’s just too much. The first one was enough.",2.0
Before I Fall,2017,Groundhog Day with teen drama. Surprisingly thoughtful by the end.,3.3
Pride and Prejudice and Zombies,2016,Weird mix but kind of fun if you’re into genre mashups.,3.0
Allegiant,2016,The series definitely lost steam here. Kind of forgettable.,2.6
The Huntsman: Winter's War,2016,"Cool visuals, confusing story. A bit unnecessary overall.",2.6
Cloudy with a Chance of Meatballs 2,2013,"Not as clever as the first, but still colorful and fun.",3.0
Suffragette,2015,Powerful and emotional. A moving look at a critical piece of history.,4.0
The 5th Wave,2016,"Started okay but got messy fast. Cool premise, weak follow-through.",2.5
Movie 43,2013,"One of the weirdest things I’ve ever seen. So many stars, so little sense.",1.4
The Giver,2014,Visually slick but kind of missed the emotional punch of the book.,3.0
We Bought a Zoo,2011,Cheesy but sweet. Meant well and had some nice moments.,3.6
Percy Jackson: Sea of Monsters,2013,An improvement on the first but still way off from the books.,2.9
Home,2015,"Cute and colorful. Not super memorable, but fun for kids.",2.9
Grown Ups 2,2013,Basically just a bunch of sketches. More yelling than comedy.,2.0
The Christmas Chronicles,2018,Fun holiday vibes. Kurt Russell as Santa totally works.,3.5
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Leans into the cartoon side of things. Not great, but better than the first reboot.",2.6
Abducted in Plain Sight,2017,"Wild, disturbing, and hard to believe. A jaw-dropping documentary.",4.0
Fifty Shades Freed,2018,Mostly just wrapping things up. Not much story left to tell.,2.4
If I Stay,2014,"Emotional and soft. Tries to be deep, but kind of slow.",3.2
Paperman,2012,Beautiful and simple. One of Pixar’s most charming shorts.,4.4
Vacation,2015,Some funny bits but overall kind of forgettable. Missed the heart of the original.,2.7
When We First Met,2018,"Cute time-loop rom-com with a fun concept. Not amazing, but enjoyable.",3.2
Dracula Untold,2014,"Tried to go dark and epic. Cool visuals, but didn’t fully click.",2.8
The Other Woman,2014,"Silly revenge comedy. Not groundbreaking, but the cast had fun.",3.0
Adrift,2018,Emotional survival story with some solid performances. Based on a true story.,3.5
Valentine's Day,2010,"Too many stories packed in. A few sweet moments, but pretty shallow overall.",2.9
Jackass Presents: Bad Grandpa,2013,"Crude and chaotic. If you’re into Jackass humor, it delivers.",2.9
R.I.P.D.,2013,"A very obvious Men in Black copy. Jeff Bridges was trying, at least.",2.4
When They See Us,2019,Devastating and incredibly well made. Essential viewing.,4.8
I Am Number Four,2011,"Had potential, but felt more like setup for a franchise that never happened.",2.8
That Awkward Moment,2014,"Tries to be a bromantic comedy. Some charm, not super memorable.",3.2
The Sorcerer's Apprentice,2010,"Fun concept, kind of clunky execution. Nic Cage does his thing though.",3.1
Remember Me,2010,"Emotional with a twist ending that hit hard. Not perfect, but impactful.",3.5
Daddy's Home 2,2017,"More characters, more chaos. Not as funny as the first, but had its moments.",2.6
Mirror Mirror,2012,Visually cool but a bit bland. Didn’t really stand out among fairy tale reboots.,2.4
Jack and Jill,2011,Rough watch. Not even in the 'so bad it's good' category for me.,1.2
Far from the Madding Crowd,2015,Gorgeous and romantic. A solid period drama if you're into that genre.,3.9
American Assassin,2017,Generic spy-action fare. Some good action but mostly forgettable.,3.0
The Princess Switch,2018,Cute and predictable. Hallmark vibes with a Netflix polish.,3.5
Pan,2015,"Weird choices, flashy visuals. Didn’t quite work as a Peter Pan story.",2.7
The Vow,2012,"Sweet but kind of flat. Based on a real story, but not very dynamic.",3.0
Dear John,2010,Romantic but slow. Nicholas Sparks formula through and through.,2.8
Flatliners,2017,The remake missed what made the original cool. Pretty dull overall.,2.5
Stardust,2007,Whimsical and underrated. Fun fantasy with a great cast.,4.2
Mortal Engines,2018,"Interesting visuals, weak story. Cool world, but hard to care.",2.8
The Twilight Saga: Eclipse,2010,"A bit more action than the others. Still mostly teen drama, though.",3.1
Cloud Atlas,2012,"Ambitious and all over the place. Cool idea, not always effective.",2.9
Freaky Friday,2003,"Lindsay Lohan and Jamie Lee Curtis were great. Fun, classic body-swap movie.",3.8
The Prince of Egypt,1998,Stunning animation and incredible music. One of DreamWorks’ best.,4.8
Star Wars: The Rise of Skywalker,2019,Messy but entertaining. Tried to do too much and please everyone.,3.2
Glass,2019,Started strong but lost steam. Not the ending this trilogy deserved.,3.1
To All the Boys: P.S. I Still Love You,2020,Sweet but a bit slower than the first. Still has charm.,3.5
Maleficent: Mistress of Evil,2019,"Visually cool, but a bit scattered. Jolie’s still great though.",3.1
The House with a Clock in Its Walls,2018,"Creepy, quirky, and fun. A spooky little fantasy for younger audiences.",3.7
The Nutcracker and the Four Realms,2018,Pretty to look at but kind of dull. Didn’t feel very magical.,2.4
Gemini Man,2019,"Cool tech, bland story. Young Will Smith was interesting, but the movie wasn’t.",2.4
A Wrinkle in Time,2018,"Visually interesting, but the story didn’t quite land for me. Tried to do a lot.",2.6
Hustlers,2019,Stylish and sharp. J.Lo absolutely killed it — super entertaining.,4.3
Yesterday,2019,Cute premise and charming enough. Didn’t blow me away but I liked the Beatles vibes.,3.7
Star Wars: Episode II – Attack of the Clones,2002,"Kind of rough. Some cool visuals, but the dialogue was painful.",2.6
Star Wars: Episode III – Revenge of the Sith,2005,"Darker, emotional, and easily the best of the prequels.",4.2
Return of the Jedi,1983,Wrapped things up nicely. A bit campy but still classic.,4.2
The Empire Strikes Back,1980,Peak Star Wars. Everything about it just works.,5.0
Solo: A Star Wars Story,2018,"Not bad, just kind of unnecessary. Had its moments though.",3.0
Men in Black: International,2019,"A forgettable spinoff. Cool leads, but no real spark.",2.4
Downsizing,2017,Fascinating idea but kind of lost itself halfway through.,2.4
London Has Fallen,2016,"Loud and ridiculous, but fun if you’re into big dumb action.",3.1
Ralph Breaks the Internet,2018,"Had a few clever moments, but didn’t hit like the first.",3.0
Deadpool 2,2018,"More of the same chaotic fun. Not as fresh, but still hilarious.",3.9
Jojo Rabbit,2019,Weird and emotional in the best way. So original and heartfelt.,4.5
Knives Out,2019,"Sharp, funny, and full of twists. Just a super satisfying mystery.",5.0
Frozen II,2019,"Beautiful and ambitious. Didn’t quite match the first, but still solid.",3.6
Treasure Planet,2002,Underrated and visually amazing. Deserved way more love.,4.1
10 Things I Hate About You,1999,"Classic teen rom-com. Smart, funny, and still totally holds up.",4.5
National Treasure: Book of Secrets,2007,"Goofy fun like the first, but not quite as tight.",3.6
Spider-Man: Into the Spider-Verse,2018,Insane animation and a perfect Spider-Man story. Totally iconic.,4.8
Midsommar,2019,Unsettling and visually stunning. Leaves you feeling weird in the best way.,4.2
Joker,2019,"Dark, heavy, and totally carried by Joaquin Phoenix.",3.9
The Grand Budapest Hotel,2014,"Quirky, stylish, and super rewatchable. Wes Anderson at his best.",5.0
Django,1966,Wild and entertaining with a brutal edge. Tarantino never holds back.,4.8
Logan,2017,"Raw, emotional, and the perfect sendoff. Easily one of the best superhero movies.",4.9
Room,2015,Incredibly moving. Brie Larson was phenomenal.,4.6
Whiplash,2014,Tense and intense. I was stressed out the entire time — in a good way.,5.0
Spider-Man: No Way Home,2021,"Pure fan service in the best way. So much fun, so many feels.",4.5
Dune,2021,"Epic and gorgeous. A slow burn, but I was totally into it.",4.7
Once Upon a Time... in Hollywood,2019,"Laid back and nostalgic. Not much happens, but it totally vibes.",3.8
The Shining,1980,"Creepy, unsettling, and visually iconic. Horror done right.",5.0
Inglourious Basterds,2009,"Wild, tense, and surprisingly funny. That opening scene is legendary.",5.0
Baby Driver,2017,"Slick, stylish, and perfectly timed to the soundtrack. Just a blast.",4.5
The Truman Show,1998,Clever and haunting. Jim Carrey at his best.,5.0
The Matrix,1999,Mind-blowing for its time and still holds up. A sci-fi must-watch.,5.0
American Psycho,2000,"Disturbing, stylish, and darkly funny. Totally hypnotic.",4.3
Little Women,2019,Beautifully made and super emotional. Loved the way it played with time.,4.4
Don't Look Up,2021,"Frustrating and hilarious. Not subtle at all, but that was kind of the point.",3.9
Hereditary,2018,Absolutely terrifying and deeply unsettling. Toni Collette is incredible.,4.4
Black Swan,2010,"Dark, dramatic, and visually stunning. Total psychological spiral.",4.4
1917,2019,Tense and immersive. The single-shot effect was so impressive.,4.4
Soul,2020,"Philosophical and beautiful. Not your typical Pixar, but it really hit me.",4.4
Coco,2017,"Colorful, emotional, and deeply heartfelt. One of Pixar’s best.",5.0
Star Wars,1977,The original classic. Started it all and still has so much charm.,4.6
Shutter Island,2010,Twisty and atmospheric. That ending messed with me.,4.7
The Shawshank Redemption,1994,"Hopeful, emotional, and just perfect. Deserves all the love it gets.",4.9
A Quiet Place,2018,Super tense and creative. Minimal dialogue but maximum impact.,4.4
Tenet,2020,"Super confusing but cool to watch. Brain hurts, but I liked it.",3.9
Nightcrawler,2014,Creepy and fascinating. Jake Gyllenhaal was unreal in this.,4.4
The French Dispatch,2021,"Visually stunning and deeply quirky. A bit overwhelming, but I liked it.",4.1
Fantastic Mr. Fox,2009,Stylish and so clever. Wes Anderson plus stop-motion just works.,4.6
Zodiac,2007,Creepy and methodical. A slow burn but totally gripping.,4.6
The Shape of Water,2017,Weird and beautiful. Somehow made a fish romance emotional.,4.0
Black Widow,2021,"Decent action and good backstory, but it felt a bit late.",3.4
Shang-Chi and the Legend of the Ten Rings,2021,Great fight scenes and cool world-building. One of the better Marvel intros.,3.9
The Suicide Squad,2021,"So much better than the first one. Gory, funny, and chaotic in the best way.",3.8
Booksmart,2019,Hilarious and heartfelt. Loved the friendship and energy.,4.3
Encanto,2021,So vibrant and full of heart. The music sticks in your head forever.,4.8
My Neighbor Totoro,1988,"Pure comfort. Gentle, magical, and totally timeless.",5.0
Where the Crawdads Sing,2022,"Moody and emotional. Didn’t love all the pacing, but solid adaptation.",3.3
Barbie,2023,"Funny, meta, emotional — way more than I expected. Totally iconic already.",4.7
Fight Club,1999,"Still hits hard. Twisty, sharp, and weirdly quotable.",5.0
The Substance,2024,"Weird and intense. Definitely not for everyone, but bold and original.",3.7
Eternal Sunshine of the Spotless Mind,2004,Beautiful and sad in a really honest way. Love the visuals too.,5.0
The Batman,2022,Moody and gritty. Loved the noir vibes and that soundtrack.,4.3
Dune: Part Two,2024,Epic and emotional. Everything about it was just huge and powerful.,5.0
Saltburn,2023,Wild and twisted. Stylish and kind of uncomfortable in a fun way.,4.1
Spider-Man: Across the Spider-Verse,2023,Visually unreal. So ambitious and emotional — just wow.,5.0
Poor Things,2023,"Bold, bizarre, and totally unforgettable. Emma Stone crushed it.",4.8
Challengers,2024,"Sexy, tense, and full of great energy. The editing was unreal.",4.5
Lady Bird,2017,Real and relatable. The mother-daughter stuff really hit me.,4.6
Spirited Away,2001,"Magical, emotional, and stunning. Probably Ghibli’s masterpiece.",5.0
Nosferatu,2024,Silent and eerie. Still creepy even after all these years.,4.1
(500) Days of Summer,2009,"Sweet, sad, and real. Loved how it plays with expectations.",4.5
Deadpool & Wolverine,2024,"Hyped already. If it delivers the humor and action, I’m all in.",4.4
Inside Out 2,2024,High hopes — the first one was incredible. Curious where they take it.,3.9
Glass Onion,2022,"Flashier and a bit sillier than Knives Out, but still a ton of fun.",3.9
Titanic,1997,"Massive, emotional, and beautifully made. A total classic.",5.0
Pearl,2022,"Mia Goth was insane in this. Loved the weird, old-school horror vibe.",4.2
Howl's Moving Castle,2004,Visually gorgeous and full of heart. Totally magical from start to finish.,5.0
Us,2019,Creepy and thought-provoking. Not as tight as Get Out but still really strong.,3.8
Longlegs,2024,Chilling and strange in a really atmospheric way. Not what I expected — in a good way.,3.8
Avatar: The Way of Water,2022,Gorgeous to look at. Story’s basic but the visuals totally carried it.,3.9
Guardians of the Galaxy Vol. 3,2023,"Funny, emotional, and a great send-off. Rocket’s story got me.",4.9
Anyone But You,2023,Super fun and hot. Classic rom-com energy with a modern twist.,4.1
Gladiator,2000,Epic and powerful. That score alone gives me chills.,5.0
Superbad,2007,Hilarious and awkward in the best way. One of the best teen comedies.,4.6
Doctor Strange in the Multiverse of Madness,2022,Visually cool and kind of chaotic. Had fun with the weird horror touches.,3.4
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"Darker and more complex. Snow’s story was interesting, even if it felt a bit long.",4.1
The Witch,2015,Creepy and slow but really atmospheric. One of those that sticks with you.,4.3
How to Lose a Guy in 10 Days,2003,"Cheesy and predictable, but so fun. Total comfort rom-com.",3.8
The Nightmare Before Christmas,1993,"Weird, musical, and totally unique. Tim Burton’s style at its best.",4.6
Beautiful Boy,2018,Emotional and raw. Amazing performances from both leads.,4.1
Priscilla,2023,Quiet and sad in a way that lingers. Gorgeous but heavy.,4.1
