Title,Year,Review,Rating (/5)
Barbarian,2022,Totally unpredictable and creepy. Such a fun horror twist ride.,4.0
We Live in Time,2024,Emotional and beautifully acted. Soft and slow in a good way.,4.0
No Hard Feelings,2023,Edgy but sweet. Jennifer Lawrence was really fun in this.,3.6
Star Wars: Episode I – The Phantom Menace,1999,"Nostalgic, but kind of dull. Great music though — Duel of the Fates still slaps.",2.9
Thor: Love and Thunder,2022,"Tried too hard to be funny. Had moments, but felt messy overall.",3.0
Moonrise Kingdom,2012,Adorable and quirky. Just pure Wes Anderson vibes.,4.6
Last Night in Soho,2021,"Visually stunning and eerie. The vibe is everything, even if the plot gets a bit messy.",4.0
Five Nights at Freddy's,2023,"More fun if you're already a fan. Not super scary, but entertaining enough.",3.2
Smile,2022,"Creepy and had a few solid jumps. Not super original, but still a good scare.",3.3
Luca,2021,"Sweet, summery, and low-stakes in a good way. Loved the friendship vibes.",3.7
The Sixth Sense,1999,Still holds up. Great twist and a super eerie atmosphere.,4.9
Die Hard,1988,"The blueprint for action movies. And yes, it’s a Christmas film.",5.0
Black Panther: Wakanda Forever,2022,"Emotional and respectful. A bit long, but it felt important.",4.1
Turning Red,2022,Super relatable and colorful. A great take on growing up.,4.2
Ready or Not,2019,"Clever, gory, and super fun. One of my favorite horror surprises.",4.0
Cruella,2021,Stylish and wild. Totally carried by Emma Stone and the fashion.,3.8
Eternals,2021,Gorgeous but kind of cold. Loved the ambition but it didn’t fully click.,3.3
The Imitation Game,2014,"Well-acted and emotional. Really interesting story, even if a bit simplified.",4.2
Carry-On,2024,Didn’t expect much but it was kind of fun. Had that slick Netflix action energy.,3.0
School of Rock,2003,Just pure joy. Jack Black is hilarious and the music still slaps.,5.0
Palm Springs,2020,Time loop rom-com with heart and chaos. Totally loved it.,4.7
Elemental,2023,"Looked amazing and had a cute message. Not top-tier Pixar, but sweet.",3.6
Scream VI,2023,"Leans more into the chaos and violence, but still really fun.",3.9
Scream,2022,Meta and genuinely scary. Such a clever twist on slasher tropes.,4.5
Hot Fuzz,2007,"Smart, ridiculous, and so rewatchable. Edgar Wright is a genius.",4.9
A Quiet Place Part II,2020,"Tense and slick. Not quite as emotional as the first, but still a strong sequel.",3.9
The Holiday,2006,A cozy classic. Total warm blanket of a rom-com.,4.0
Snowpiercer,2013,Bleak and stylish with a cool concept. That ending sticks with you.,4.2
Leave the World Behind,2023,Tense and super ambiguous. Not for everyone but definitely thought-provoking.,3.5
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,"Chaotic in a good way. Loved the color, energy, and Harley’s vibe.",4.0
Blink Twice,2024,"Super stylish and full of mystery. Not totally what I expected, but I was into it.",3.2
The Blair Witch Project,1999,Low budget but genuinely creepy. One of the best found footage horror films.,3.7
Ant-Man and the Wasp: Quantumania,2023,All over the place. Some fun visuals but not much else stuck with me.,2.2
White Chicks,2004,So dumb but weirdly iconic. Has some lines that live rent-free in my head.,3.3
Ocean's Eight,2018,"Fun cast and a slick heist vibe. Not as sharp as the originals, but still a good time.",3.8
The Idea of You,2024,Surprisingly emotional. Sexy and sweet in equal measure.,3.4
No Time to Die,2021,A bit long but a solid send-off for Craig’s Bond. That ending got me.,3.9
Finding Dory,2016,Not quite as magical as Nemo but still sweet. Baby Dory is too cute.,3.4
Fresh,2022,"Dark, twisted, and weirdly funny. A unique kind of horror story.",4.0
12 Years a Slave,2013,Hard to watch but so powerful. Incredible performances and storytelling.,5.0
The Twilight Saga: New Moon,2009,Angsty and slow. Mostly just waiting for Edward to come back.,2.6
Hit Man,2023,"Slick, funny, and surprisingly thoughtful. Glen Powell crushed it.",4.2
I'm Thinking of Ending Things,2020,"Weird, slow, and haunting. Not for everyone, but it really got under my skin.",3.9
The Secret Life of Walter Mitty,2013,"Dreamy and motivational. Not super deep, but really nice to watch.",3.8
Jumanji: Welcome to the Jungle,2017,Surprisingly fun reboot. The cast had great chemistry.,4.0
The Talented Mr. Ripley,1999,Creepy and stylish. Loved how unsettling it got.,4.4
Scream 2,1997,Strong sequel. Keeps the meta vibe but ups the stakes.,4.2
Pirates of the Caribbean: At World's End,2007,"Messy and way too long, but still had some fun spectacle moments.",2.9
Napoleon,2023,"Epic scale but a bit cold emotionally. Great visuals, uneven pacing.",3.7
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Wild and offensive but hilarious in its own unhinged way.,4.3
The Little Mermaid,2023,Charming and iconic. Kickstarted the Disney Renaissance for a reason.,4.5
Aquaman,2018,Colorful and totally over-the-top. Dumb fun if you’re into that.,3.5
Old,2021,"Interesting premise, weird execution. Kind of fascinating in a bad-good way.",2.7
She's the Man,2006,Silly and iconic. Amanda Bynes at her comedic best.,4.0
Emma.,2020,Gorgeous and super stylized. Funny and charming too.,4.0
Rocketman,2019,Flashy and emotional. Great way to tell Elton’s story.,4.5
Kingsman: The Golden Circle,2017,Bigger and sillier than the first. Fun but not as sharp.,3.4
Enola Holmes,2020,Charming and fun. Millie Bobby Brown totally carried it.,3.9
Moana 2,2024,Excited to see more of Moana’s world — hoping it keeps that same heart and music magic.,4.2
Hidden Figures,2016,Inspiring and powerful. The cast was incredible and the story was so important.,4.5
The Gentlemen,2019,"Slick, stylish, and full of sharp dialogue. Classic Guy Ritchie vibes.",3.9
House of Gucci,2021,"A little messy but entertaining. Gaga was great, accents were wild.",3.5
The Matrix Reloaded,2003,Cool action scenes but kind of overcomplicated. Not as tight as the first.,3.6
Insidious,2010,Creepy and atmospheric. That red demon reveal still sticks with me.,3.9
Sinister,2012,One of the scariest I’ve seen. That found footage stuff was nightmare fuel.,4.5
Do Revenge,2022,Stylish and fun with some dark teen drama energy. A modern Mean Girls twist.,4.3
Onward,2020,"Surprisingly emotional. Not top-tier Pixar, but had a lot of heart.",3.9
Fear Street: 1994,2021,Bloody and fun. Loved the retro slasher vibe mixed with a cool mystery.,4.2
Scream 4,2011,Way better than I expected. Meta in all the right ways for a reboot.,4.2
"Love, Simon",2018,"Sweet, funny, and super heartfelt. A big deal for teen rom-coms.",4.5
The 40 Year Old Virgin,2005,Crude but weirdly wholesome too. Tons of classic moments.,3.6
The Matrix Resurrections,2021,"Self-aware but kind of all over the place. Cool ideas, weird execution.",3.1
Doctor Sleep,2019,Surprisingly solid sequel. Creepy and emotional in a good way.,3.9
Jurassic World: Fallen Kingdom,2018,Felt more like a haunted house than a dino movie. Some cool moments but kind of odd.,2.8
Scream 3,2000,"Definitely the weakest one. Still fun, but leans too goofy.",3.2
X2,2003,One of the better early superhero sequels. Solid action and story.,4.1
Wonder Woman 1984,2020,"Had potential but got messy. Some fun moments, but not great.",2.5
Monster House,2006,Creepy and weirdly intense for a kids movie. Loved the animation style.,3.6
Bridge to Terabithia,2007,Totally wrecked me as a kid. Way deeper than it looks.,4.3
Uptown Girls,2003,Cute and sad in equal measure. A comfort watch from the 2000s.,3.2
Jurassic World Dominion,2022,Dinosaurs should’ve been the focus. Too many weird side plots.,2.4
Raya and the Last Dragon,2021,Gorgeous animation and a cool story world. The pacing was a little rushed though.,4.1
Captain Fantastic,2016,Unique and emotional. Viggo Mortensen was so good in this.,4.6
Ponyo,2008,"Cute, whimsical, and so cozy. Feels like a bedtime story.",3.9
The Royal Tenenbaums,2001,"Peak Wes Anderson. Quirky, sad, and beautifully made.",4.8
Manchester by the Sea,2016,So heavy and real. Amazing acting but not one I’d rewatch often.,4.4
The Black Phone,2021,Creepy and tense with a cool supernatural twist. Ethan Hawke was terrifying.,3.9
M3GAN,2022,Campy and creepy in all the right ways. Knew exactly what it was.,4.2
The Invisible Man,2020,Tense and super well done. Loved the paranoia vibe.,4.4
The Platform,2019,"Weird, gross, and full of commentary. Unsettling in a good way.",3.8
Venom: Let There Be Carnage,2021,Dumb fun. The bromance stuff worked more than the plot did.,3.1
Sweeney Todd: The Demon Barber of Fleet Street,2007,Dark and bloody musical chaos. Depp and Bonham Carter were perfect.,3.8
The Place Beyond the Pines,2012,Ambitious and emotional. Loved how the story shifted halfway through.,4.3
Spectre,2015,Stylish but kind of forgettable. Lacked the punch of Skyfall.,3.1
The Addams Family,1991,"Spooky, funny, and iconic. The 90s vibes are unmatched.",4.0
Venom: The Last Dance,2024,Hoping they go fully weird with this one. The chaos is part of the fun.,3.6
The Conjuring: The Devil Made Me Do It,2021,"Not the scariest one, but still creepy. Felt more like a detective movie.",3.4
Fear Street: 1978,2021,Classic summer camp horror vibes. Loved the nods to old slashers.,4.1
Orphan,2009,Wild twist that totally made it. Creepy and unsettling from start to finish.,4.2
Pirates of the Caribbean: On Stranger Tides,2011,"Not terrible, just didn’t have the same magic as the originals.",3.0
"As Above, So Below",2014,Claustrophobic and creepy. Found footage done pretty well.,3.6
The King,2019,Slow burn but really well acted. Chalamet pulled off the broody vibe.,3.9
The Wolverine,2013,"Cool setting and solid character stuff. Not super memorable, though.",3.5
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Kind of all over the place. A few fun moments, but the charm was fading.",2.4
"Are You There God? It's Me, Margaret.",2023,Sweet and honest. Nailed that awkward growing-up energy.,4.0
Borat Subsequent Moviefilm,2020,Still chaotic and wild. Some of it hit harder than expected.,3.5
Totally Killer,2023,Fun time-travel slasher. Had the right balance of camp and comedy.,3.7
Mufasa: The Lion King,2024,Curious to see if this adds depth to the original. Hoping the music still hits.,3.7
High School Musical 2,2007,Peak summer Disney Channel vibes. Super catchy songs and classic teen drama.,4.0
The Intern,2015,Wholesome and comforting. De Niro and Hathaway had great chemistry.,3.7
Lightyear,2022,Cool idea but kind of confusing for kids. Visually great though.,3.0
The Adam Project,2022,"Fun, fast, and sweet. Not super deep but enjoyable.",3.4
Jumanji: The Next Level,2019,Not as fresh as the first reboot but still a fun adventure.,3.6
Morbius,2022,Messy and kind of boring. Meme-worthy more than anything.,2.4
Fear Street: 1666,2021,A strong wrap-up. Loved how everything tied together.,3.8
Damsel,2024,Unexpectedly wild. Weird pacing but I was intrigued the whole time.,3.4
Miss Congeniality,2000,So fun and rewatchable. Sandra Bullock at her funniest.,4.5
Vivarium,2019,Weird and claustrophobic in a good way. Creeped me out.,3.5
Red Notice,2021,"Glossy and forgettable. Fun cast, but very Netflix-y.",3.0
Robots,2005,"Creative world, fun characters. Not a classic, but solid for kids.",3.4
Brother Bear,2003,Emotional and underrated. That soundtrack gets me every time.,4.0
Erin Brockovich,2000,Inspiring and sharp. Julia Roberts absolutely owned it.,4.7
Alita: Battle Angel,2019,Visually cool with solid action. Story was just okay.,3.5
Hairspray,2007,Upbeat and colorful. The music and cast totally make it.,3.7
In Time,2011,"Cool concept, messy execution. Still fun if you don’t think too hard.",2.9
Madagascar: Escape 2 Africa,2008,Not bad for a sequel. Had some genuinely funny moments.,3.8
Chicken Little,2005,Kind of chaotic. Cute idea but not peak Disney.,2.3
Candyman,2021,"Visually slick and creepy. Had something to say, even if a bit rushed.",3.3
The Princess Diaries 2: Royal Engagement,2004,Cheesy and fun. Not as strong as the first but still charming.,3.2
Child's Play,1988,Creepy doll chaos. The original is campy fun and still kinda scary.,3.7
Ice Age: The Meltdown,2006,More of the same but still fun. Scrat continues to steal the show.,3.3
Cruel Intentions,1999,Dark and seductive. Pure 90s angst in the best way.,4.2
Charlie's Angels,2000,Campy and ridiculous in a fun way. A total time capsule.,3.4
Anastasia,1997,Beautiful animation and that soundtrack is still stuck in my head.,4.6
Quantum of Solace,2008,Fast and chaotic. Feels more like a filler between better Bond films.,2.7
A Cinderella Story,2004,Quintessential 2000s teen movie. Cute and super nostalgic.,3.9
Surf's Up,2007,Underrated and really creative. Loved the mockumentary style.,4.3
Billy Elliot,2000,Heartwarming and powerful. Totally earns the emotional payoff.,4.8
Flipped,2010,So sweet and old-school. A little gem of a coming-of-age story.,3.8
Atlantis: The Lost Empire,2001,Underrated adventure. Cool steampunk vibes and a fun story.,4.2
Five Feet Apart,2019,"Sad teen romance with solid chemistry. Emotionally manipulative, but it works.",3.3
Alvin and the Chipmunks,2007,"Silly and loud. Kids love it, adults survive it.",2.3
Happy Feet,2006,Weirdly deep for a dancing penguin movie. Great visuals and music.,3.5
Enola Holmes 2,2022,Still fun and charming. Loved Millie Bobby Brown again in this.,3.8
Happy Gilmore,1996,Dumb and hilarious in classic Sandler style. Always fun to rewatch.,3.8
Over the Hedge,2006,"Cute and clever. Not super iconic, but has its charm.",3.3
The Nun II,2023,More creepy visuals than actual scares. Better than the first one though.,2.8
Violent Night,2022,Santa with a sledgehammer? Surprisingly fun Christmas chaos.,3.3
Austin Powers: International Man of Mystery,1997,Completely ridiculous and still iconic. So many quotable moments.,4.1
Run,2020,Tense and twisty. Sarah Paulson plays unhinged so well.,3.8
Wallace & Gromit: The Curse of the Were-Rabbit,2005,Charming and very British. Stop-motion magic.,4.5
Ma,2019,Campy and unhinged. Octavia Spencer really went for it.,3.2
The Spectacular Now,2013,Raw and real. A slower kind of teen movie but it really works.,4.1
Diary of a Wimpy Kid,2010,Goofy and relatable. Nailed that awkward middle school energy.,3.5
The Strangers,2008,Simple and super scary. One of those that makes your skin crawl.,4.1
Wild Child,2008,Total guilty pleasure. A classic teen boarding school makeover movie.,3.5
Love and Monsters,2020,Surprisingly sweet and fun. The world-building was awesome.,4.0
Flushed Away,2006,Underrated and super fun. Fast-paced and funny with great animation.,3.9
She's All That,1999,"Peak 90s teen makeover movie. Cheesy, but kind of iconic.",4.2
Gerald's Game,2017,Tense and disturbing in the best way. Carla Gugino was amazing.,3.9
The Aristocats,1970,"Charming and jazzy. Not top-tier Disney, but still fun.",3.5
The Cat in the Hat,2003,Absolute chaos. So bad it’s kind of good — in the weirdest way.,2.6
Ghost,1990,Romantic and emotional. That pottery scene lives rent-free.,4.5
The Grinch,2018,Jim Carrey totally went for it. Creepy but weirdly festive.,3.4
Molly's Game,2017,"Fast, sharp, and super well-acted. Classic Aaron Sorkin energy.",4.2
Ella Enchanted,2004,Silly but sweet. Anne Hathaway made it way more charming than it should’ve been.,3.3
The Chronicles of Narnia: Prince Caspian,2008,"Darker and more action-heavy. Not as magical as the first, but still solid.",3.5
Stuart Little,1999,"Cute and very 2000s. Kind of bizarre in hindsight, but fun for kids.",3.7
Bride Wars,2009,"Catty and chaotic. Not great, but has its guilty pleasure moments.",3.0
Scooby-Doo 2: Monsters Unleashed,2004,Just as goofy as the first. Pure camp and I kind of love it for that.,3.1
Wedding Crashers,2005,Raunchy and funny. Owen Wilson and Vince Vaughn had great chemistry.,4.0
Aquaman and the Lost Kingdom,2023,"Colorful and chaotic. Fun visuals, but the plot was kind of a mess.",3.1
Miller's Girl,2024,Uncomfortable in a deliberate way. Bold but not for everyone.,3.6
Diary of a Wimpy Kid: Rodrick Rules,2011,Slightly better than the first. Rodrick totally steals the show.,3.4
Fantastic Four: Rise of the Silver Surfer,2007,"Cool villain but weak movie. Better than the first one, though.",2.6
Freaky,2020,Fun horror comedy twist. Vince Vaughn was surprisingly great in it.,4.0
All the Bright Places,2020,"Emotional and heavy. Not perfect, but it hits a nerve.",3.6
Thoroughbreds,2017,Dark and deadpan. Olivia Cooke and Anya Taylor-Joy were so good together.,4.2
My Girl,1991,"Heartbreaking childhood movie. If you know, you know.",4.1
Extraction,2020,"Solid action flick. Not much plot, but the stunts were great.",3.3
The Phantom of the Opera,2004,Dramatic and lavish. The music is unforgettable even if the movie's a bit cheesy.,4.0
Mulan,2020,One of the most empowering Disney films. Great music and an awesome lead character.,5.0
Addams Family Values,1993,Even funnier than the first. Christina Ricci was an icon.,4.1
Uglies,2024,"Cool concept, not the best execution. Still worth a watch for the themes.",2.7
Monsters vs Aliens,2009,"Silly fun with a great voice cast. Not super memorable, but entertaining.",3.6
Escape Room,2019,Tense and fun in a guilty pleasure way. Like Saw-lite for teens.,3.5
Sully,2016,"Calm and respectful. Hanks nailed it, as always.",4.2
Confessions of a Shopaholic,2009,Bright and silly. Isla Fisher makes it more fun than it should be.,2.9
Oblivion,2013,Slick visuals and a cool vibe. Story was a bit meh.,2.9
Insidious: The Red Door,2023,Decent but not scary enough. Feels like it’s just wrapping things up.,3.3
To All the Boys: Always and Forever,2021,"Cute and satisfying ending. Still sweet, even if it lost some spark.",3.3
A Streetcar Named Desire,1951,Classic for a reason. Intense and iconic performances.,4.6
The New Mutants,2020,Tried to do horror X-Men but kind of flopped. Had potential though.,2.7
The Santa Clause,1994,Wholesome 90s holiday vibes. Totally rewatchable every year.,4.2
Footloose,1984,So cheesy but iconic. That angry warehouse dance scene lives on forever.,3.9
Scary Movie 2,2001,Ridiculous and crude. Had a few moments that still make me laugh.,3.0
Insidious: Chapter 2,2013,Creepy and continued the story well. Not as strong as the first.,3.4
Annabelle: Creation,2017,Actually spooky and better than expected. One of the stronger Conjuring spin-offs.,4.1
Holidate,2020,"Fun enough for a holiday rom-com. Doesn’t take itself seriously, which works.",2.7
Murder Mystery 2,2023,"Goofy and disposable. Not great, but fine for a lazy night.",2.9
Zathura: A Space Adventure,2005,Space Jumanji with a cool style. Underrated family movie.,3.5
Big Daddy,1999,Funny and weirdly sweet. Classic late 90s Sandler.,3.5
Christopher Robin,2018,"Soft, sweet, and surprisingly emotional. A hug of a movie.",3.8
Band of Brothers,2001,Incredibly well-made and emotional. One of the best war series ever.,5.0
Adventureland,2009,"Quiet and nostalgic. A very soft, very specific kind of coming-of-age story.",4.0
Hannah Montana: The Movie,2009,Pure Disney Channel energy. Fun if you grew up with it.,3.4
A Goofy Movie,1995,Total cult classic. Surprisingly heartfelt and full of great music.,4.1
Letters to Juliet,2010,Cheesy but cute. Gorgeous Italian scenery makes it worth it.,3.5
Fractured,2019,Paranoid and tense. Loved how off everything felt the whole time.,3.6
Casper,1995,Sweet and a little spooky. Total 90s nostalgia — Casper was adorable.,4.2
Monte Carlo,2011,Light and predictable but fun. Great escapist fluff with cute scenery.,3.5
The House Bunny,2008,Ridiculous but actually really funny. Anna Faris totally owns it.,3.6
Good Boys,2019,So crude but weirdly sweet? These kids got into absolute chaos.,3.8
Not Another Teen Movie,2001,Absolutely unhinged but nails the parody. A time capsule of teen movie tropes.,3.4
Sky High,2005,Underrated teen superhero movie. Great world-building and fun characters.,4.1
John Tucker Must Die,2006,Classic revenge plot with early 2000s flair. So many quotable moments.,4.1
Purple Hearts,2022,Meant to be romantic but came off kind of awkward. Nice soundtrack though.,2.7
"Extremely Wicked, Shockingly Evil and Vile",2019,"Zac Efron was surprisingly good, but the tone felt off. Didn't dig deep enough.",2.9
Marley & Me,2008,Totally destroyed me. A must-watch for dog lovers (and bring tissues).,4.0
No Strings Attached,2011,Cute and funny. Not groundbreaking but still a solid rom-com.,3.5
Lolita,1997,Controversial and uncomfortable by design. Beautifully shot but very heavy.,4.2
Happy Death Day 2U,2019,Takes a weird sci-fi turn but still fun. Not as tight as the first though.,2.8
Lemonade Mouth,2011,Peak Disney Channel energy. The songs go harder than they should.,4.0
Hubie Halloween,2020,"Silly and super low-effort, but has some charm if you’re in the mood.",2.8
Meet the Fockers,2004,Cringe comedy with some good moments. The parents totally stole the show.,3.7
Horton Hears a Who!,2008,Colorful and sweet. Definitely one of the better Seuss adaptations.,3.5
Instant Family,2018,Heartwarming and funny. Genuinely emotional and feel-good.,3.9
Drop Dead Gorgeous,1999,"Dark, hilarious, and so quotable. Totally underrated cult classic.",4.4
Mary Poppins Returns,2018,Lovely visually but didn’t quite have the original magic. Emily Blunt was solid though.,3.5
Meet the Robinsons,2007,Underrated Disney. The twist is surprisingly emotional and hits hard.,3.9
17 Again,2009,Funny and surprisingly heartfelt. Zac Efron pulled it off.,3.7
High School Musical 3: Senior Year,2008,Bigger budget and bigger drama. The nostalgia hits hard in this one.,4.2
Annabelle,2014,Some creepy imagery but not that memorable. Weakest of the Conjuring spin-offs.,2.5
Spy Kids,2001,Totally wild and inventive. Early 2000s kids cinema at its peak.,4.2
Bring It On,2000,"Cheerleader drama gold. So iconic, still hilarious.",4.4
Holes,2003,"Honestly incredible. Great story, cast, and soundtrack. Still holds up.",4.6
Night at the Museum: Battle of the Smithsonian,2009,More of the same but still fun. The settings and cameos were cool.,3.2
Camp Rock,2008,"So cheesy, so iconic. A Disney Channel staple for sure.",3.3
Wish,2023,"Cute and colorful, but didn’t hit like recent Disney stuff. Pretty mid.",2.7
Aquamarine,2006,Mermaid fashion and friendship — pure early 2000s energy.,3.7
Burlesque,2010,Campy and dramatic with killer vocals. Christina and Cher did what they had to do.,3.4
The Pope's Exorcist,2023,Decent possession horror. Russell Crowe seemed to be having fun.,3.0
After,2019,Messy and melodramatic. Total guilty pleasure if you're in the mood for it.,2.5
Blended,2014,"Sandler and Barrymore still have chemistry, but this one felt super lazy.",2.5
Roald Dahl's Matilda the Musical,2022,"Bright, bold, and catchy. Not as dark as the original but still fun.",4.1
Annabelle Comes Home,2019,Better than the first Annabelle. A haunted house vibe with fun scares.,3.2
Ticket to Paradise,2022,Charming and safe rom-com. Clooney and Roberts made it fun.,3.5
Time Cut,2024,Cool mix of horror and time travel. A fun twist on slasher tropes.,3.6
The Kissing Booth 2,2020,"Dramatic for no reason but kind of addictive. Not great, still watched it.",2.5
9,2009,"Dark and cool animation. Super atmospheric, but not much story.",3.4
Our Little Secret,2024,A small-scale drama with a decent emotional punch. Quietly solid.,3.5
Pet Sematary,2019,Creepy classic. The original is way more haunting than the remake.,4.1
Scary Movie 3,2003,Totally ridiculous but has some iconic bits. Peak early 2000s parody.,3.1
The Fox and the Hound,1981,Heartbreaking in the softest way. Classic Disney tearjerker.,4.0
The Babysitter: Killer Queen,2020,Not as sharp as the first but still chaotic fun. Definitely a style-over-substance sequel.,2.8
Descendants,2015,"Disney Channel musical chaos. Great for kids, full of camp.",3.6
Don't Move,2024,Tense and creepy. Didn’t reinvent the genre but kept me on edge.,3.3
Love at First Sight,2023,Sweet and a little sappy. A solid feel-good romance.,3.7
Eurovision Song Contest: The Story of Fire Saga,2020,Silly but kind of endearing. The music was actually a vibe.,3.3
Teen Beach Movie,2013,Goofy and super catchy. Feels like a Disney Channel throwback in the best way.,3.6
Garfield,2004,"Super lazy humor but kind of nostalgic. Not great, not terrible.",2.4
Night at the Museum: Secret of the Tomb,2014,"A soft ending to the series. Heartfelt, even if a bit tired.",2.7
Babe,1995,Wholesome and surprisingly deep. A quiet classic.,4.0
Gnomeo & Juliet,2011,Silly but charming in its own weird way. Kids love it.,3.0
Paul Blart: Mall Cop,2009,Goofy and harmless. Totally lowbrow but kind of fun.,2.6
Cheaper by the Dozen,2003,Chaotic family fun. Has some sweet moments too.,3.8
The Smurfs,2011,Very loud and very blue. Kids might enjoy it more than adults.,2.5
6 Underground,2019,Explosions and chaos. Plot? Who knows. It’s a Michael Bay movie.,2.6
She-Hulk: Attorney at Law,2022,"Funny and self-aware. Didn’t land for everyone, but I had fun with it.",3.4
"Angus, Thongs and Perfect Snogging",2008,Quirky and super British. Great awkward teen comedy energy.,4.1
Alvin and the Chipmunks: The Squeakquel,2009,"More chipmunk chaos. Not great, but kids eat it up.",2.7
"Legally Blonde 2: Red, White & Blonde",2003,Not as sharp as the first but still full of Elle’s charm.,3.0
You Don't Mess with the Zohan,2008,Totally absurd but weirdly watchable. Classic Sandler nonsense.,2.3
101 Dalmatians,1996,Classic live-action remake. Glenn Close made a perfect Cruella.,3.3
Blades of Glory,2007,So dumb but so funny. Will Ferrell chaos at its peak.,4.1
Love Hard,2021,Cute holiday rom-com with some decent laughs.,3.3
Tall Girl,2019,Sweet but kind of shallow. Harmless Netflix teen fluff.,2.6
Fighting with My Family,2019,"Funny, inspiring, and surprisingly emotional. A fun sports biopic.",4.1
Ms. Marvel,2022,Bright and full of energy. The teen stuff was refreshing for Marvel.,3.7
The Sword in the Stone,1963,Underrated older Disney. Silly but charming with great animation.,3.8
That's My Boy,2012,So gross and over-the-top. Definitely not for everyone.,2.2
Senior Year,2022,"High concept, low payoff. Had a few funny moments though.",2.5
Spy Kids 3-D: Game Over,2003,Pure chaos and CGI madness. A weird fever dream of a movie.,2.7
Child's Play 2,1990,Still creepy and fun. Builds on the original in a solid way.,3.6
Charlie's Angels,2019,Campy and ridiculous in a fun way. A total time capsule.,3.5
Peter Pan,2003,Classic Disney with a whimsical charm. Still fun to revisit.,4.0
Disenchanted,2022,Tried to recapture the magic but felt a little flat.,2.9
"Yes, God, Yes",2019,"Short, awkward, and really honest. Natalia Dyer was great.",4.2
Insidious: Chapter 3,2015,Decent prequel with some strong scares. Not super memorable though.,3.1
The Lizzie McGuire Movie,2003,This is what dreams are made of. Pure Y2K Disney magic.,4.0
Fear,1996,Creepy teen thriller. Young Mark Wahlberg was unhinged in this.,3.3
Daddy's Home,2015,Decent dad rivalry comedy. Ferrell and Wahlberg had fun with it.,2.8
Bedtime Stories,2008,"Cute concept, messy delivery. One of Sandler’s more family-friendly flicks.",3.0
Nanny McPhee,2005,Magical and heartwarming. Kind of like a darker Mary Poppins.,3.5
Spy Kids 2: The Island of Lost Dreams,2002,Wild gadgets and fun adventure. The creature designs were cool.,3.8
Tinker Bell,2008,Surprisingly charming. A nice expansion of the Peter Pan world.,3.6
Rio 2,2014,Colorful but didn’t really build on the first. Still fun for kids.,2.7
What's Your Number?,2011,Silly rom-com with a few decent laughs. Anna Faris made it work.,3.0
I See You,2019,Creepy and clever. Way more twists than expected.,3.9
Just My Luck,2006,Super cheesy but kind of adorable. Lindsay Lohan rom-com era energy.,3.8
The Kissing Booth 3,2021,Felt like a stretched-out finale. Messy but oddly addictive.,2.7
This Is 40,2012,"Long and kind of whiny, but has some real moments about aging.",3.0
Plus One,2019,Surprisingly sharp and funny. Low-key rom-com gem.,4.1
Saving Mr. Banks,2013,Emotional and beautifully acted. Loved seeing the Mary Poppins backstory.,4.4
Princess Protection Program,2009,Disney Channel vibes through and through. Selena and Demi were sweet.,3.4
Child's Play,2019,Creepy doll chaos. The original is campy fun and still kinda scary.,4.1
Shallow Hal,2001,"Hasn't aged super well, but had a decent message underneath.",2.9
The Land Before Time,1988,Devastating and beautiful. Childhood classic that still hits hard.,4.5
Open Season,2006,Silly forest buddy comedy. Decent for little kids.,2.9
What a Girl Wants,2003,Early 2000s comfort film. Amanda Bynes was so fun in this.,3.6
Scary Movie 4,2006,Running out of steam at this point. A few laughs but mostly forgettable.,2.7
The School for Good and Evil,2022,Cool concept but a bit messy in execution. Still visually fun.,2.9
Family Switch,2023,Silly but surprisingly heartfelt. Body-swap comedy with modern flair.,3.1
The Golden Compass,2007,Visually cool but rushed. The books deserved a better adaptation.,2.8
Starstruck,2010,Pure Disney Channel fantasy. The songs are a bop.,3.5
The Hustle,2019,Decent remake but didn’t bring anything new. Hathaway and Wilson were fun though.,3.3
Descendants 2,2017,More flashy musical numbers and drama. Fun if you liked the first.,3.1
Norbit,2007,Offensive and chaotic. Not one of Eddie Murphy’s better moments.,2.1
A Dog's Purpose,2017,"Cheesy but emotional. If you love dogs, you’ll cry for sure.",3.7
Scooby-Doo on Zombie Island,1998,Legit creepy and so fun. One of the best Scooby-Doo stories.,3.9
P.S. I Love You,2007,"Sappy and sad. A bit much at times, but has its moments.",3.5
The Secret Garden,1993,"Quiet, emotional, and a lovely adaptation. Timeless feel-good movie.",3.9